symbol,V,DM4,DM2,DM1,VA2,DC2,D,VM3_VA5,DL5,VA1v,DA1,DL3,VA1d,VP1l_VP3,DP1m_DC4,VP4_VP1d_VP2,DL2d/v_DP1l_VC3l,VL1_VM1,DC1
7SLRNA:CR32864,0.08090278526928261,0.16457569531612418,0.022137592579924707,0.07838182028591381,0.20925929064670282,0.13023033032695605,0.0568262296080739,0.09973352033328593,0.0,0.026656186467765065,0.09633928683752412,0.0,0.1664494802604693,0.15082036026779486,0.07995267624765877,0.060309991406367267,0.03407469910137014,0.0,0.10565399160338669
a,0.6527729202445273,0.34927294716241913,0.11727221802106245,0.14198192521101097,0.007296543525759122,0.03739476807667526,0.09290273838944435,0.0,0.03294042766448918,0.14979189957434685,0.04771890988527427,0.0,0.07829016546253754,0.16746406980927186,0.4405425348476329,0.936989187438381,0.24290941962635995,0.0,0.20465844871534528
abd-A,0.0,0.005908596722258651,0.014845210465357903,0.051769753171335614,0.0,0.0,0.0,0.0,0.0,0.03538180332091324,0.04799697489652709,0.0,0.0,0.32969358919461367,0.07959076325129258,0.03275654054189397,0.06460498969612873,0.02986030097296839,0.0
Abd-B,0.041100969077643316,0.06652607832326726,0.044398570973361993,0.15589375020229643,0.0,0.15310313052459748,0.2431235852292636,0.0631359112849713,0.0,0.077030413168309,0.13586460830231,0.0,0.07520620438279826,0.4620976935492843,0.18834979535899876,0.07033296546556848,0.11653897924336627,0.0,0.07598982080318532
Abl,3.084113855674978,2.9092671118683873,2.1701335404588176,3.032887073027078,2.8937049235371,2.8125795652472667,3.581216048509007,3.7616275384772466,2.850519428182206,3.924846535035327,4.342312791404785,3.132600908025656,2.301456088787433,3.650952272021757,2.6754344035716455,2.9958438407801586,2.5891048570299153,1.3243165709538585,2.9201071980090667
abo,0.049077413566272765,0.0,0.0,0.13623422691728115,0.0,0.039687781059506655,0.28830148923891374,0.18298533635326608,0.06786750626274908,0.0,0.06165229377115093,0.0,0.051832015903888716,0.0,0.1249597279277854,0.19876749134628216,0.0,0.0,0.12464100292866018
ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025943646074466142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ace,6.251803804868534,6.213247857778167,7.662344730492952,6.708412117051743,6.59499579200668,7.785045397670785,7.952087532532584,7.2424478009944355,8.658371388869199,10.112907072378022,8.066008823236238,7.025744814611978,9.812900003690428,8.303800612590178,6.561129551357683,3.608985026280355,5.72368692868645,6.607603505071738,8.641588030421158
acj6,8.956745273733391,8.66507831514728,8.497728544894924,8.729842829459734,9.40402611579794,7.995671757207761,7.332021770465202,6.134118939303607,8.123530470118444,6.093577127800873,6.58341376866939,6.17605793677176,3.8013665798382346,7.024592412890509,7.57915163625029,7.853416517197337,6.962460085825683,8.087639828319967,7.225815330219145
Acph-1,0.3614153916457133,0.05707432046808224,0.0,0.24059230716561464,0.0920845195488279,0.5538533072396231,0.0,0.0,0.21218973501919483,0.11646493337281512,0.16770818559523964,0.0,0.0,0.0,0.5751063207360232,0.0,0.11918362932612267,0.0,0.5529152151465117
