symbol,DA1,VA2,DM1,DL3,DA4l,VM4,DM3,DM4,VL2a,DP1l,V,VA1v,VA1d,VC3,VL1,DL4,DL5,DC3,VM3,DM2
Cbp20,2.502194949572311,1.178088205654094,4.467112326675889,2.665914573584172,1.145179898262632,0.663265496295709,3.2224839711279527,2.9652216804602087,1.8864547816603003,1.317103014684868,2.196447947711844,3.4283568566113973,3.4815668890362304,1.8383716066584694,1.831018253210546,2.2451966096395135,3.1611772084398346,2.0301140155861273,3.0678768989071292,1.860221990803791
yps,5.230731543858345,7.137495765452352,8.672444126367116,4.172965922425008,6.837105969202481,4.480195299379867,7.057825839828158,5.996864620476817,5.33899667969723,5.594132756843572,5.977879148023642,7.13488331079419,5.569355223131748,4.412690881308275,4.2074134992689265,4.955682507485007,8.328327300688182,6.430172887412893,6.696383190395549,6.3900208184230785
vimar,2.188086052921311,2.760365826286669,1.675173812996797,0.7973590201218382,2.170138214349795,0.7807127822009156,2.4223070498643176,1.9123414899169657,1.078944019636754,1.6455057225903797,2.405460670663385,2.258086042943491,2.3138722255788657,1.3153559647944342,1.1779029975619775,1.3037727707407163,2.5382260536362384,1.9682069250901646,3.0872793713998568,2.105541542278971
rpk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qkr58E-3,7.97383442943864,6.063382031082332,5.858495931936877,6.530366137272682,5.887434262956021,3.8552939317611234,6.390902804752741,7.716492215422131,5.174652528942535,3.6392545017263136,5.077922348785579,6.909578729994563,8.141399729535278,6.404863414186735,4.187581045758351,5.4131309122996045,7.701032783030686,4.659040216933196,5.4217905304668825,4.331104164459592
qkr58E-2,1.1412115975220591,2.073057874071994,1.7669582519375926,0.9863399652582245,1.5085825656751386,0.8959882116662193,1.7456428773109016,0.9101953551201273,2.4165836603825075,1.7627309647396034,1.524376291595939,1.6845156937184602,0.9902452034323971,0.4540329526668118,0.8801595509076993,1.1496755532379332,1.9992851583576645,1.4354403437487904,0.9024895758661534,0.9738623451137381
qkr58E-1,3.2006216330213983,4.528787630511741,4.039555339470479,1.879226177944784,2.5640294439991793,2.611514846320534,3.457263858206631,2.7595245782563804,1.602167970454317,3.8005454637033504,1.5705176464600048,2.3241139612137394,1.5474001714575758,0.7664356074119412,1.6642673767698946,1.5693902938546287,2.866495687230612,1.9765244854723407,2.200620720859595,3.670929667794731
qkr54B,0.22411747005517915,0.9837489066807839,1.3725923291205284,1.5691246305749504,0.23602355805492908,0.7822842584169221,0.7945003386943943,0.8699571982732082,0.37631309737670243,0.7176614804157069,1.109665933070172,0.4949641585996229,0.3830392613225401,1.061358428292083,1.0417087936740625,0.7492864748608822,0.7061916054091085,0.09829205251118306,0.5644361854769581,1.1908365484301784
mth,0.7860500562369767,0.5745434441284453,0.252534141856429,0.0,0.0,0.2576349330746544,0.33799042220427994,0.3208456578687868,0.0,0.4312277580075223,0.18124490682325756,0.07784661655668543,0.0,0.20034809587231817,0.4820869376621279,0.13189107511053177,0.0,0.0,0.13921902717077853,1.397370779171917
melt,0.0,0.0,0.0,0.45814286587804137,0.0,0.0,0.0,0.0,0.07169640023392834,0.04363312887823467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRMP,6.639457738273971,4.960719895051452,4.534824655404109,6.195387310490737,5.739396305215827,5.8638696411974385,4.750745797111608,4.046024963638741,3.236336422773487,5.394119117711887,3.9511898782530537,6.5673887801263895,6.992616002879208,5.208346881538625,4.667060889058792,4.387558461427494,5.455431980383503,4.171033464253681,5.767218689577025,4.454414305871671
Clk,0.0,0.0,0.24952352739250488,0.0,0.4376755455999052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2915604188144497,0.0,0.0,0.6203370629086149,0.25598964992141887,0.0
gek,0.6617308027231643,0.4388867233629333,1.8531923600242963,0.0,1.5065477844790167,0.23748000087152593,0.5837323462327958,1.2874871780580543,0.4820195910215922,1.076773952464605,0.4335202719412715,0.8302010612069322,0.18915850689420652,0.5592854055986256,0.6940803116281643,0.8647068526339983,0.13161649596387268,0.7763932897483812,0.5847287604072672,1.105643886532714
fray,2.1166474007872287,0.6840004242156703,3.021795739839436,1.0673209974535371,1.9861599412755027,0.29175871924368485,0.921389051000954,1.6584053184597343,0.7169274434944012,0.7443312382678472,1.0263623513278144,1.1754815004234458,1.3248495822208861,0.86055218630129,0.7509897366202987,0.7851709880606494,1.503879661124292,0.31373849049726243,0.4461704642959937,1.671399693419145
dtr,0.07261003303266364,0.5001260274385796,0.0,0.0,0.19656106770154846,0.0,0.0,0.0,0.0,0.0,0.18106750996998844,0.0,0.0,0.0,0.0,0.0,0.4798081475152637,0.0,0.4619799417433024,0.07314697855881086
dimm,0.1309070116539095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04363312887823467,0.0,0.0,0.0,0.0,0.0,0.21638559752127398,0.41554261670846976,0.0,0.0,0.06784232241800302
cyc,0.1299976214165594,0.11160947362264442,1.1042969931832507,0.665801710289129,1.2827764171329687,0.8252627478442169,1.4150449353814136,1.8778290798915807,1.4425969842170854,0.04895553923404788,0.8066938264983735,1.0162779005740943,1.1865426863331137,0.9549120783571962,0.6715962397000333,0.830536334233546,0.8764008044704816,1.0819419423866903,1.8745687086161245,1.283890864708595
caps,2.78572120624745,7.655593023997106,5.882421744690807,0.0,0.1927621453364653,3.664872484441527,0.8836007774099962,5.331927311266968,5.5956178968348524,4.531649517723076,1.8176636569634124,6.016848270339708,2.1533943934368107,3.022477581585153,2.1257149191848486,1.432080964868086,1.0283805146355545,5.068949120710349,2.625414734298375,3.714551000722041
btv,0.8205728588726698,1.1665521222983242,0.6225912188216097,1.793501800568365,1.350204311677763,1.2056452244380917,0.5970096266322202,1.6703825600605546,1.106731174578796,1.1266883642212948,1.092474405835321,1.0767956876916718,2.0069906302295966,0.18625848636144363,0.2587885202274579,0.7322538041697001,0.5514153672197668,0.5401661910801123,2.043939038955792,0.8556282981054117
